Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health,Chlorophyll ,MCARI,RDVI,MSAVI,SAVI
-117.81143,34.0434937,N=15,0.19,0.03,0.3,3,22.4,0.02432,-0.3411211461689767,-0.24517739905133973,-0.33333333333333337
-117.8113965,34.0434726,N=16,0.16,0.01,0.1,2,12.0,0.0192,-0.36380343755449945,-0.23839828968270638,-0.33582089552238803
-117.8113924,34.0434593,N=17,0.29,0.02,0.1,3,26.0,0.06263999999999999,-0.48493431547229215,-0.38022219479415187,-0.4999999999999999
-117.8114923,34.0435209,N=18,0.24,0.04,0.1,2,27.5,0.0384,-0.37796447300922725,-0.2916249154516716,-0.3846153846153846
-117.8115413,34.0435193,N=19,0.21,0.02,0.1,3,20.1,0.03192,-0.3961773867084421,-0.2864738061462381,-0.3904109589041096
-117.8115061,34.0433659,N=20,0.36,0.01,0.1,2,26.3,0.10079999999999999,-0.5753964555687505,-0.46984692682071516,-0.603448275862069
-117.8116308,34.0434384,N=21,0.19,0.06,0.3,3,22.5,0.01976,-0.26,-0.19736384915045957,-0.26
-117.8115611,34.0434137,N=22,0.19,0.05,0.1,3,29.5,0.02128,-0.28577380332470415,-0.21321687612368734,-0.28378378378378377
-117.8115597,34.0433556,N=23,0.29,0.07,0.4,2,31.7,0.05103999999999999,-0.36666666666666664,-0.30458561616344915,-0.38372093023255804
-117.8116687,34.0433693,N=24,0.35,0.08,0.6,2,25.7,0.07559999999999999,-0.41174613989803255,-0.35616237907747605,-0.4354838709677419
-117.8116848,34.0433809,N=25,0.23,0.0,0.7,3,35.3,0.04232,-0.47958315233127197,-0.3426149773176358,-0.47260273972602745
-117.8116781,34.043434,N=26,0.22,0.05,0.7,3,21.3,0.029919999999999995,-0.3271651525407879,-0.2515609770940699,-0.3311688311688311
-117.8116677,34.043372,N=27,0.21,0.09,0.1,3,23.6,0.020159999999999997,-0.21908902300206645,-0.17687678280151364,-0.22499999999999998
-117.8116814,34.0433373,N=28,0.25,0.05,0.3,2,34.8,0.04000000000000001,-0.36514837167011077,-0.28815273071201053,-0.375
-117.8116489,34.0432534,N=29,0.21,0.01,0.1,2,27.0,0.03359999999999999,-0.42640143271122083,-0.30246538387798394,-0.4166666666666667
-117.811608,34.0432234,N=30,0.21,0.03,0.1,3,23.6,0.030239999999999996,-0.3674234614174767,-0.27056230238501733,-0.36486486486486486
-117.8116144,34.0432801,N=31,0.25,0.08,0.5,2,32.1,0.033999999999999996,-0.2959320151246863,-0.24243540779808348,-0.30722891566265054
-117.8116741,34.0433137,N=32,0.37,0.07,0.4,3,28.3,0.08879999999999999,-0.45226701686664544,-0.391717214153932,-0.4787234042553192
-117.8117163,34.0433448,N=33,0.26,0.01,0.3,2,24.7,0.052000000000000005,-0.48112522432468807,-0.3618371407550839,-0.487012987012987
-117.8117445,34.0433231,N=34,0.3,0.03,0.1,2,26.2,0.0648,-0.4700096710803842,-0.37603531939985657,-0.48795180722891573
-117.8117223,34.0433062,N=35,0.22,0.0,0.1,3,18.5,0.03872,-0.4690415759823429,-0.33066238629180744,-0.45833333333333337
-117.8117042,34.0432901,N=36,0.17,0.05,0.1,4,20.0,0.01632,-0.25584085962673253,-0.18654599313281184,-0.25
-117.8116174,34.0432345,N=37,0.27,0.08,0.2,3,23.0,0.04104000000000001,-0.3211586167968363,-0.26640415877995305,-0.3352941176470588
-117.811613,34.043217,N=38,0.16,0.03,0.2,3,24.6,0.016640000000000002,-0.29824045403173033,-0.20545904032787576,-0.28260869565217395
-117.8116446,34.0431898,N=39,0.2,0.08,0.1,2,23.7,0.019200000000000002,-0.22677868380553634,-0.1792101158440923,-0.23076923076923078
-117.8116814,34.0432028,N=40,0.16,0.04,0.1,3,29.0,0.01536,-0.2683281572999748,-0.18910904534232742,-0.2571428571428571
-117.8117418,34.043232,N=41,0.21,0.05,0.1,2,21.5,0.026879999999999994,-0.31378581622109436,-0.23898669190297495,-0.31578947368421045
-117.8117649,34.0432206,N=42,0.26,0.07,0.1,3,28.9,0.039520000000000007,-0.3307475463158259,-0.2695832299420945,-0.3433734939759036
-117.8117944,34.0431859,N=43,0.21,0.02,0.2,3,22.3,0.03192,-0.3961773867084421,-0.2864738061462381,-0.3904109589041096
-117.8118323,34.0431592,N=44,0.22,0.02,0.1,2,32.0,0.0352,-0.4082482904638631,-0.2987795796183489,-0.40540540540540543
-117.8117753,34.0431201,N=45,0.28,0.02,0.2,2,27.3,0.05824000000000001,-0.47469288317114394,-0.3690444308357147,-0.48750000000000004
-117.8117512,34.0431101,N=46,0.23,0.03,0.1,3,27.5,0.0368,-0.39223227027636803,-0.29516664983505003,-0.39473684210526316
-117.8117532,34.043102,N=47,0.26,0.09,0.3,2,27.7,0.03536,-0.28735244660769566,-0.23951793229561946,-0.30000000000000004
-117.8117968,34.0430559,N=48,0.26,0.05,0.3,3,30.9,0.04368000000000001,-0.37717113425622734,-0.30000000000000004,-0.38888888888888884
-117.8118259,34.0430753,N=49,0.41,0.02,0.5,3,29.3,0.12791999999999998,-0.5947444242971581,-0.5048902380255165,-0.629032258064516
-117.8118601,34.0430978,N=50,0.47,0.01,0.1,2,32.6,0.17295999999999997,-0.6639528095680696,-0.5763240768757727,-0.7040816326530612
