x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI,NDVI
545,597,0.07423580784759896,0.0743889479153844,0.07120085014758222,0.043756670216822856,-0.0022990169121908798,-0.007957939876937098,-0.00705315484756395,-0.0052888069517482705,0.02086646111745991
479,613,0.5567685588569923,0.4346439956770317,0.6503719446316465,0.221985058660955,0.05893970306099575,0.0851944049471711,0.08224532795023536,0.0844691579233694,0.07754081731171722
414,624,0.48253275100939325,0.3857598299040648,0.4633368755872514,0.211312700071486,-0.03332971017652264,-0.019737380698703594,-0.019914370121541763,-0.019724488124877704,0.020294183492606588
357,620,0.7412663754194073,0.5866099892756027,0.6482465461197784,0.22091782280200808,-0.09212613688651326,-0.07891194518569546,-0.07384391314226253,-0.07833806976237812,0.06694372819136361
299,615,0.6779475981376317,0.5887353877874708,0.5270988309432952,0.19530416218728253,-0.10769772016833112,-0.13741622557620148,-0.13270711597302634,-0.13764556167742814,0.12517982094519786
292,71,0.24344978161786132,0.21253985118681257,0.42614240162955924,0.16221985055992866,0.24500165971855736,0.22326085325917158,0.23430097800070485,0.22446262384002613,0.27283756381604785
364,46,0.09279475980949871,0.07545164717131847,0.06163655684417565,0.06616862325470774,-0.01885874682254777,-0.0792849376645138,-0.07141558262673728,-0.05297879630208735,0.20174786435553355
433,197,0.3155021833522956,0.252922422912307,0.20297555788340602,0.17822838844413214,-0.06596435674400883,-0.15627377649765867,-0.16572606047413246,-0.14509750267575583,0.21702854680992478
126,307,0.4410480348592644,0.3581296492497792,0.39107332618373514,0.1120597651894244,-0.05015315878594831,-0.05478407492212742,-0.056272276283640885,-0.054421831501637374,0.060056274066104115
590,204,0.19868995629798547,0.08182784270692284,0.07757704568318659,0.08431163285680501,-0.04695335166189681,-0.23041888102459038,-0.23402646222253434,-0.18125169263005947,0.4383749241135725
139,601,0.10589519648848676,0.0658873538679119,0.04888416577296689,0.044823906075769755,-0.024745710935142086,-0.14490666738974128,-0.130601620571389,-0.09555038974905428,0.36831365186074944
102,235,0.44213973791584676,0.39957492023120766,0.4027630179990098,0.14087513338099067,-0.0364498742125084,-0.04283845286011171,-0.04391742390923276,-0.04261232481570998,0.04660449911397677
304,471,0.72379912651409,0.540913921270438,0.5919234855552731,0.22732123795568948,-0.11618951866565759,-0.11496899791710168,-0.10894415452711213,-0.11474472445749218,0.10022981548415563
161,439,0.5534934496872452,0.36769394255318577,0.4930924547534052,0.18143009602097282,-0.07615108151177427,-0.059041115968011086,-0.05858122857062271,-0.059064667451509845,0.057711855763549466
178,288,0.5622270741399039,0.4144527098142845,0.4612114770753833,0.12166488791994648,-0.0905359883571758,-0.09985169120324325,-0.09946078854896254,-0.0999005338308363,0.09870119540764813
139,601,0.10589519648848676,0.0658873538679119,0.04888416577296689,0.044823906075769755,-0.024745710935142086,-0.14490666738974128,-0.130601620571389,-0.09555038974905428,0.36831365186074944
102,235,0.44213973791584676,0.39957492023120766,0.4027630179990098,0.14087513338099067,-0.0364498742125084,-0.04283845286011171,-0.04391742390923276,-0.04261232481570998,0.04660449911397677
535,597,0.14956331875178028,0.11689691815274691,0.06695005312384596,0.05122732122945115,-0.032506955579545256,-0.17754047333326486,-0.17294605493173074,-0.1306593518324134,0.3815443167549992
71,582,0.16703056765709767,0.07651434642725252,0.15621679062230726,0.03415154748630077,-0.025020668667094837,-0.019019697902031608,-0.01970305022370405,-0.016277113905158846,0.03345256281611302
556,568,0.11681222705431013,0.16153028690197757,0.12752391071208755,0.11526147276626508,0.01911726153500407,0.021669806908130085,0.021586095908094273,0.017308465985859334,0.04383815797359703
415,257,0.09061135369633402,0.20935175341901038,0.07013815089164815,0.1141942369073182,0.005703777722510545,-0.05106196327654866,-0.04647652748194292,-0.03484442765320228,0.1273530036243073
625,456,0.14082969429912157,0.15515409136637318,0.15940488839010944,0.24546424755778676,0.02006150893331755,0.03389968847784107,0.03481783911336414,0.028798494624675652,0.061866865761820454
328,452,0.44432314402901146,0.252922422912307,0.26886291175131793,0.11739594448415888,-0.10809887327090789,-0.20776590718590524,-0.216939693355777,-0.201740343405578,0.24601966764067604
216,439,0.6484716156099086,0.4760892666584602,0.3868225291599989,0.07897545356207053,-0.1454253707946147,-0.2571492377583728,-0.25563249620637446,-0.2576215919821798,0.252726791389818
45,89,0.28165938859824313,0.20191285862747196,0.2837407013343948,0.1045891141767961,-0.01438930386184758,0.002767922291808748,0.002930286763510698,0.0026601182060724815,0.0036810532774894543
240,64,0.4039301309354649,0.3783209351125264,0.30818278422087825,0.15368196368835346,-0.06234738405873209,-0.11346170182922376,-0.1184871823176322,-0.11086787696838629,0.1344534084819731
507,51,0.1331877729030452,0.06163655684417565,0.036131774701758136,0.127001067214681,-0.024944102288579004,-0.2358609428991402,-0.2175072118887042,-0.1578057463951198,0.573178201951587
