x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI,NDVI
69,599,0.08951965063975169,0.06907545163571409,0.5823591922518665,0.07684098184417673,2.5380032351460913,0.6012524268740033,0.6308271810822373,0.6512880446551897,0.7335135430608116
137,564,0.3406113536536894,0.5483528160619765,0.4293304993973614,0.0992529348820616,0.14182848352857505,0.10110799171815818,0.10479034510263498,0.10094839088749241,0.1152268517478131
260,506,0.6975982531561138,0.557917109365383,0.5781083952281302,0.18890074703360113,-0.10236785412519514,-0.10579231382651001,-0.10093663448276774,-0.1056557424128417,0.09366492812356905
303,485,0.7030567684390255,0.5515409138297787,0.5557917108535149,0.22305229451990188,-0.11708873122348411,-0.13125357640552696,-0.1255914188095933,-0.13131660950317947,0.11698298527630041
403,426,0.15502183403469194,0.07651434642725252,0.06269925610010971,0.15474919954730035,-0.03622041762355096,-0.1978552947760927,-0.1929467199930292,-0.14530893474221207,0.4240210857538802
380,292,0.36353711784191844,0.5324123272229655,0.354941551481977,0.38207043750298986,0.026261854103331615,-0.010140643519942328,-0.010581451391258101,-0.009995572352922366,0.011963425543688103
290,322,0.5993449780637033,0.49415515400933924,0.539851222014504,0.18890074703360113,-0.06181908611511915,-0.05574038540311303,-0.054441340639986645,-0.055720775648207876,0.052223840384035575
432,88,0.14301310041228624,0.12964930922395568,0.1317747077358238,0.11846318034310578,-0.010746173531052863,-0.0214386631761493,-0.021757410719981468,-0.017544992903904544,0.040896963580897554
123,249,0.4486899562553408,0.3018065886852739,0.3188097767802189,0.13447171822730927,-0.09469853676583535,-0.1482521381922202,-0.15370318502760408,-0.145664085039245,0.16922285451096858
186,219,0.5283842793858514,0.4697130711228558,0.49946865028900955,0.16328708641887554,-0.03295804087920581,-0.028521004890033324,-0.02838829389521066,-0.028523961773807338,0.028131781086868944
249,192,0.5589519649701569,0.46227417633131734,0.505844845824614,0.17929562430307902,-0.0559465122371069,-0.05146565741585116,-0.050907698892070356,-0.05148109268588952,0.04987490893184544
319,156,0.17358078599659169,0.15090329434263694,0.17959617425285662,0.27214514403145923,0.0002863923642957978,0.010121886796996785,0.010575742188338262,0.008909824546908696,0.01703174518116343
407,109,0.1943231440716561,0.25929861844791136,0.20722635490714225,0.09284951972838021,0.02486470029272738,0.020362117407131574,0.021468156569269682,0.01848642581542459,0.03213275710507549
568,42,0.1593886462610213,0.2146652496986807,0.13708820401549413,0.1099252934715306,-0.005835353815708187,-0.04095535210173857,-0.041997750519408426,-0.0340915435296445,0.0752156049138767
235,49,0.417030567614453,0.36769394255318577,0.4144527098142845,0.13340448236836236,-0.01185559810538241,-0.002827039212518842,-0.0029041128380806027,-0.0028146997780277294,0.0031002910727625796
