epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2867.65,1.21711,0.79399,1.12793,0.50419,0.55332,0.46302,0.19624,2.10346,1.5471,1.9757,0.000594286,0.000594286,0.000594286
67,2908.5,1.21415,0.7831,1.12252,0.55259,0.50134,0.46954,0.1946,2.13314,1.56444,1.97748,0.000577782,0.000577782,0.000577782
68,2949.42,1.20569,0.77692,1.12818,0.48856,0.56723,0.47045,0.19807,2.13104,1.56146,1.98107,0.000561279,0.000561279,0.000561279
69,2990.36,1.18469,0.75101,1.11468,0.55246,0.5004,0.47014,0.19818,2.11063,1.52951,1.9607,0.000544776,0.000544776,0.000544776
70,3030.97,1.17626,0.7461,1.10036,0.50395,0.57846,0.47206,0.19708,2.10945,1.55822,1.98136,0.000528272,0.000528272,0.000528272
71,3071.78,1.1728,0.73426,1.10186,0.51838,0.53251,0.48511,0.19826,2.14164,1.60012,2.00763,0.000511769,0.000511769,0.000511769
72,3112.61,1.14164,0.71543,1.09141,0.52642,0.51515,0.46588,0.19447,2.11116,1.61449,1.98763,0.000495266,0.000495266,0.000495266
73,3153.26,1.14852,0.71939,1.09892,0.52932,0.52063,0.44777,0.18403,2.13846,1.66487,2.03212,0.000478762,0.000478762,0.000478762
74,3194.13,1.10737,0.69883,1.08063,0.55033,0.50367,0.4558,0.18996,2.131,1.66081,2.03899,0.000462259,0.000462259,0.000462259
75,3234.97,1.13129,0.70535,1.09555,0.51966,0.51804,0.45136,0.1885,2.14484,1.64803,2.02492,0.000445756,0.000445756,0.000445756
76,3275.89,1.11626,0.70214,1.0775,0.50722,0.49332,0.43713,0.18068,2.14472,1.64648,2.07744,0.000429253,0.000429253,0.000429253
77,3316.61,1.08617,0.68177,1.06386,0.52603,0.48442,0.44152,0.18349,2.16904,1.71401,2.09781,0.000412749,0.000412749,0.000412749
78,3357.74,1.09163,0.68395,1.08178,0.51973,0.51998,0.44283,0.18917,2.10588,1.65931,2.00347,0.000396246,0.000396246,0.000396246
79,3398.52,1.08096,0.66701,1.06361,0.554,0.48746,0.44707,0.18557,2.1316,1.67428,2.08153,0.000379743,0.000379743,0.000379743
80,3439.44,1.0787,0.66358,1.0661,0.54677,0.5063,0.45135,0.18751,2.14762,1.62693,2.0458,0.000363239,0.000363239,0.000363239
81,3480.15,1.04223,0.63829,1.04643,0.51034,0.51744,0.43807,0.18058,2.14243,1.70836,2.05225,0.000346736,0.000346736,0.000346736
82,3520.93,1.03142,0.63471,1.04489,0.50241,0.49162,0.43149,0.17852,2.14736,1.80152,2.11607,0.000330233,0.000330233,0.000330233
83,3561.55,1.02913,0.62401,1.03693,0.48027,0.53363,0.43706,0.17995,2.13533,1.71321,2.07841,0.000313729,0.000313729,0.000313729
84,3602.29,1.03331,0.62945,1.03921,0.48586,0.51595,0.421,0.17629,2.10803,1.79962,2.05878,0.000297226,0.000297226,0.000297226
85,3642.84,1.01208,0.61793,1.03118,0.54633,0.47477,0.42786,0.18125,2.12572,1.74266,2.10211,0.000280723,0.000280723,0.000280723
86,3683.93,1.00382,0.6193,1.03733,0.56255,0.48412,0.44894,0.19112,2.13851,1.7075,2.10448,0.00026422,0.00026422,0.00026422
87,3724.66,0.98126,0.60335,1.02623,0.53381,0.51186,0.44407,0.18407,2.13866,1.74678,2.12513,0.000247716,0.000247716,0.000247716
88,3765.56,0.97923,0.6009,1.01507,0.53611,0.51335,0.43573,0.18602,2.12788,1.70541,2.1015,0.000231213,0.000231213,0.000231213
89,3806.54,0.9852,0.60651,1.02738,0.55027,0.50964,0.44749,0.18797,2.11405,1.73322,2.09579,0.00021471,0.00021471,0.00021471
90,3847.29,0.97116,0.5999,1.02133,0.52679,0.52207,0.43528,0.18794,2.13028,1.75224,2.12221,0.000198206,0.000198206,0.000198206
91,3901.33,0.97305,0.59623,1.04219,0.55258,0.53554,0.47366,0.20298,2.13509,1.69311,2.11729,0.000181703,0.000181703,0.000181703
92,3941.96,0.93198,0.55975,1.03258,0.50311,0.51139,0.44337,0.18714,2.14942,1.78145,2.14024,0.0001652,0.0001652,0.0001652
93,3982.84,0.90387,0.53717,1.02237,0.4929,0.53589,0.44532,0.18701,2.14678,1.76799,2.16468,0.000148696,0.000148696,0.000148696
94,4023.77,0.88549,0.52044,1.00759,0.50601,0.52367,0.44559,0.18749,2.15712,1.77453,2.1547,0.000132193,0.000132193,0.000132193
95,4065,0.87585,0.50447,1.00398,0.49545,0.54162,0.44993,0.1879,2.17705,1.82639,2.19644,0.00011569,0.00011569,0.00011569
96,4105.96,0.86683,0.51079,0.99733,0.50513,0.53327,0.44024,0.18779,2.13697,1.82743,2.15648,9.91865e-05,9.91865e-05,9.91865e-05
97,4146.69,0.8717,0.51715,1.00239,0.49507,0.52573,0.43849,0.18372,2.14827,1.83028,2.15464,8.26832e-05,8.26832e-05,8.26832e-05
98,4187.28,0.87165,0.52005,1.0034,0.52029,0.48321,0.43484,0.185,2.14384,1.86931,2.1562,6.61799e-05,6.61799e-05,6.61799e-05
99,4227.9,0.84255,0.49814,0.99567,0.53136,0.48992,0.44482,0.19071,2.12402,1.84318,2.14593,4.96766e-05,4.96766e-05,4.96766e-05
100,4268.77,0.83398,0.4958,0.98624,0.49247,0.53421,0.44193,0.18853,2.13315,1.83255,2.16757,3.31733e-05,3.31733e-05,3.31733e-05
